spec_task_name,workload_file,chosen_model,router_reason,eval_accuracy,eval_avg_latency,n_examples,router_run_csv_path
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,distilbert-sst2,"Picked by min latency under constraints: distilbert-sst2 (lat=0.016422, acc=0.901515).",0.9242424242424242,0.01900090051419807,132,runs/run_distilbert-sst2_20251202T053054Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,distilbert-sst2,"Picked by min latency under constraints: distilbert-sst2 (lat=0.016422, acc=0.901515).",0.9242424242424242,0.01740500782475327,132,runs/run_distilbert-sst2_20251202T053309Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,,"No candidates satisfy constraints (max_latency=None, min_recall=0.99).",,,,
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,vader,"Picked by min latency under constraints: vader (lat=0.000105, acc=0.780303).",0.6590909090909091,0.00013245235789905894,132,runs/run_vader_20251202T053445Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,distilbert-sst2,"Picked by min latency under constraints: distilbert-sst2 (lat=0.016422, acc=0.901515).",0.9242424242424242,0.01862382527553674,132,runs/run_distilbert-sst2_20251202T053554Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,,"No candidates satisfy constraints (max_latency=None, min_recall=0.99).",,,,
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,vader,"Picked by min latency under constraints: vader (lat=0.000105, acc=0.780303).",0.6590909090909091,0.00016845356334339488,132,runs/run_vader_20251202T053756Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,distilbert-sst2,"Picked by min latency under constraints: distilbert-sst2 (lat=0.016422, acc=0.901515).",0.9242424242424242,0.019009871916337448,132,runs/run_distilbert-sst2_20251202T054318Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,,"No candidates satisfy constraints (max_latency=None, min_recall=0.99).",,,,
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,vader,"Picked by min latency under constraints: vader (lat=0.000105, acc=0.780303).",0.6590909090909091,0.00016442573431766394,132,runs/run_vader_20251202T054411Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,vader,"Picked by min latency under constraints: vader (lat=0.000105, acc=0.780303).",0.6590909090909091,0.0007698481733148748,132,runs/run_vader_20251214T044433Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,distilbert-sst2,"Picked by min latency under constraints: distilbert-sst2 (lat=0.016422, acc=0.901515).",0.9242424242424242,0.03335827950275305,132,runs/run_distilbert-sst2_20251214T044501Z.csv
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,,"No candidates satisfy constraints (max_latency=None, min_recall=0.99).",,,,
task_airline_twitter_sentiment_binary_classification,airline_binary_sentiment.csv,roberta-large-en,"Picked by max recall under constraints: roberta-large-en (acc=0.962121, lat=0.132381).",0.9848484848484849,0.09520550568898518,132,runs/run_roberta-large-en_20251214T044631Z.csv
